Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",C_Radial_D6.3mm_H11.0mm_P2.50mm,6,270uF,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C7, C8, C9",0603,25,10uF,
CN1,C428721_CONN-TH_XT30UPB-M,1,XT30UPB-M,C428721
FPC1,C2906114_FPC-SMD_10P-P0_50_HCTL_XW05202-100R-00,1,XW05202-100R-00,C2906114
"R1, R2, R3, R4, R5",0402,5,470R,
U1,LED_CUBE_RGB_5x5x5,1,~,
